ID,INT1,STAB1,GLOB1,INT2,STAB2,GLOB2,INT3,STAB3,GLOB3,INT4,STAB4,GLOB4,INT5,STAB5,GLOB5,INT6,STAB6,GLOB6
1,6,2,3,1,4,1,5,1,5,6,1,6,7,3,7,4,4,4
2,7,3,3,1,1,1,6,4,2,5,7,4,6,6,7,4,4,4
3,5,4,4,5,3,5,6,5,5,7,4,4,6,4,5,5,4,5
4,5,4,4,3,5,4,5,4,4,4,4,3,5,5,5,4,4,4
5,7,5,6,4,5,5,7,6,6,2,2,1,5,5,6,5,5,4
6,5,5,4,1,3,1,1,4,3,6,3,2,2,6,5,2,5,6
7,5,2,2,4,4,4,4,2,4,1,6,1,5,5,5,4,4,4
8,4,5,5,4,4,4,4,4,4,4,4,3,5,5,5,4,4,4
9,2,1,5,7,2,3,4,5,5,2,6,1,1,7,6,4,1,4
10,3,2,1,1,3,5,6,4,5,6,3,1,6,5,6,4,4,1
11,7,4,2,5,7,3,7,7,5,4,4,4,7,6,5,6,6,4
12,6,4,5,3,4,5,5,3,3,6,3,1,7,6,4,5,3,5
13,6,2,3,6,4,4,4,3,3,4,4,3,4,4,3,4,2,1
14,3,7,4,4,4,4,5,6,5,4,3,3,3,3,3,4,5,4
15,4,4,3,6,5,3,3,3,5,5,4,5,6,4,5,6,5,6
16,6,5,6,6,6,2,7,5,6,6,5,6,2,6,2,5,4,2
17,2,6,5,6,5,7,5,5,6,3,5,3,6,5,7,7,5,2
18,7,3,3,4,5,4,7,7,7,7,6,7,7,7,7,7,2,1
19,3,4,2,5,5,4,5,7,5,3,3,2,6,5,4,4,4,3
20,2,3,3,2,4,4,4,4,4,6,4,4,6,6,6,4,4,4
21,5,3,3,6,4,6,7,6,3,2,5,2,2,3,4,3,4,6
22,3,4,5,6,4,2,5,4,3,3,6,2,5,5,3,2,4,2
24,7,6,7,7,5,7,6,6,6,6,6,6,7,2,1,6,4,6
25,5,3,5,1,6,5,6,4,6,4,4,3,7,3,5,6,4,5
26,6,4,5,5,3,3,6,3,5,4,3,5,6,5,5,5,6,6
27,7,7,6,7,6,5,4,7,7,6,4,5,7,7,7,6,6,5
28,5,4,4,4,4,4,3,5,4,5,4,4,7,4,4,4,5,6
29,1,7,7,7,7,7,6,4,1,4,4,3,6,4,4,5,4,2
30,3,3,7,7,7,5,4,5,4,7,2,2,1,7,4,4,4,4
31,6,2,4,6,4,5,6,3,6,2,6,6,7,5,7,4,6,5
32,2,2,4,5,4,6,2,4,1,7,4,1,3,5,3,5,3,1
33,1,1,1,7,1,4,7,1,1,1,1,1,7,1,4,1,1,1
34,3,2,1,7,4,7,4,2,3,6,5,6,7,7,7,7,7,6
35,4,5,3,4,2,2,6,5,4,5,2,2,6,6,5,4,4,4
