"ID","species","choice"
1.0,"robot","flower"
2.0,"human","data"
3.0,"human","data"
4.0,"human","data"
5.0,"robot","data"
6.0,"human","flower"
7.0,"human","data"
8.0,"robot","data"
9.0,"human","puppy"
10.0,"robot","flower"
11.0,"robot","puppy"
12.0,"human","flower"
13.0,"human","data"
14.0,"human","data"
15.0,"human","data"
16.0,"human","data"
17.0,"robot","data"
18.0,"human","data"
19.0,"human","data"
20.0,"human","data"
21.0,"human","puppy"
22.0,"robot","flower"
23.0,"human","data"
24.0,"robot","flower"
25.0,"robot","flower"
26.0,"human","puppy"
27.0,"robot","data"
28.0,"robot","data"
29.0,"robot","data"
30.0,"robot","data"
31.0,"human","data"
32.0,"human","puppy"
33.0,"robot","data"
34.0,"human","data"
35.0,"human","data"
36.0,"robot","flower"
37.0,"human","data"
38.0,"robot","data"
39.0,"robot","flower"
40.0,"robot","puppy"
41.0,"robot","puppy"
42.0,"robot","flower"
43.0,"human","flower"
44.0,"human","data"
45.0,"human","data"
46.0,"robot","flower"
47.0,"robot","flower"
48.0,"robot","puppy"
49.0,"robot","data"
50.0,"human","data"
51.0,"human","flower"
52.0,"robot","data"
53.0,"robot","puppy"
54.0,"robot","data"
55.0,"robot","data"
56.0,"human","data"
57.0,"robot","flower"
58.0,"robot","data"
59.0,"robot","data"
60.0,"human","data"
61.0,"human","flower"
62.0,"robot","flower"
63.0,"human","data"
64.0,"human","data"
65.0,"human","data"
66.0,"robot","data"
67.0,"robot","flower"
68.0,"robot","data"
69.0,"human","data"
70.0,"human","flower"
71.0,"robot","flower"
72.0,"human","data"
73.0,"robot","puppy"
74.0,"robot","flower"
75.0,"robot","puppy"
76.0,"robot","data"
77.0,"robot","data"
78.0,"robot","data"
79.0,"human","data"
80.0,"human","data"
81.0,"human","data"
82.0,"robot","data"
83.0,"human","flower"
84.0,"robot","data"
85.0,"robot","data"
86.0,"human","puppy"
87.0,"human","puppy"
88.0,"robot","data"
89.0,"human","data"
90.0,"robot","data"
91.0,"human","data"
92.0,"human","flower"
93.0,"human","flower"
94.0,"robot","data"
95.0,"robot","flower"
96.0,"human","data"
97.0,"human","data"
98.0,"robot","data"
99.0,"human","data"
100.0,"robot","data"
101.0,"robot","flower"
102.0,"robot","data"
103.0,"robot","data"
104.0,"human","data"
105.0,"robot","puppy"
106.0,"human","puppy"
107.0,"robot","data"
108.0,"human","puppy"
109.0,"robot","flower"
110.0,"robot","flower"
111.0,"human","data"
112.0,"human","puppy"
113.0,"robot","data"
114.0,"robot","data"
115.0,"human","data"
116.0,"human","data"
117.0,"robot","data"
118.0,"human","data"
119.0,"human","data"
120.0,"robot","puppy"
121.0,"robot","flower"
122.0,"human","data"
123.0,"robot","flower"
124.0,"robot","puppy"
125.0,"human","puppy"
126.0,"robot","data"
127.0,"human","flower"
128.0,"robot","puppy"
129.0,"robot","flower"
130.0,"human","data"
131.0,"human","data"
132.0,"human","data"
133.0,"human","data"
134.0,"human","puppy"
135.0,"human","puppy"
136.0,"human","data"
137.0,"human","puppy"
138.0,"robot","data"
139.0,"human","data"
140.0,"human","data"
141.0,"robot","flower"
142.0,"human","flower"
143.0,"human","data"
144.0,"robot","data"
145.0,"robot","data"
146.0,"robot","data"
147.0,"human","flower"
148.0,"human","data"
149.0,"human","puppy"
150.0,"human","data"
151.0,"human","data"
152.0,"human","data"
153.0,"robot","flower"
154.0,"robot","data"
155.0,"human","data"
156.0,"robot","flower"
157.0,"human","puppy"
158.0,"human","flower"
159.0,"robot","flower"
160.0,"robot","flower"
161.0,"robot","flower"
162.0,"human","data"
163.0,"human","data"
164.0,"robot","flower"
165.0,"robot","data"
166.0,"robot","puppy"
167.0,"human","data"
168.0,"human","data"
169.0,"human","data"
170.0,"human","data"
171.0,"robot","data"
172.0,"human","data"
173.0,"human","data"
174.0,"robot","flower"
175.0,"human","data"
176.0,"robot","data"
177.0,"robot","data"
178.0,"human","data"
179.0,"robot","puppy"
180.0,"human","data"
