"ID","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","age"
66926,1,5,6,6,6,5,5,5,1,5,2,4,6,5,4,4,5,4,3,5,6,4,5,6,3,"Females",24
66788,5,6,5,6,5,5,6,6,2,6,2,1,5,5,6,5,6,6,6,6,6,2,4,6,2,"Females",20
63726,2,3,5,6,5,5,5,5,2,5,5,2,4,3,2,2,1,4,1,1,4,1,6,2,2,"Males",25
61990,3,4,4,3,4,3,3,5,3,6,2,5,5,3,4,5,4,2,2,4,5,4,4,4,5,"Females",27
65070,2,5,6,5,5,4,4,6,2,4,3,6,3,2,5,5,6,3,4,2,4,1,5,6,2,"Females",37
67156,1,2,3,5,1,5,6,5,4,3,2,1,1,4,4,4,3,4,5,1,4,2,4,1,4,"Males",12
64508,3,4,3,5,5,5,5,4,4,5,4,2,4,4,3,4,4,4,3,4,3,2,5,5,3,"Males",56
64724,3,6,6,4,3,1,6,6,1,1,1,1,5,3,1,1,6,2,2,3,5,4,6,4,2,"Females",29
63452,1,6,6,5,5,6,5,4,1,2,2,1,5,5,4,3,3,3,3,4,4,1,6,4,1,"Females",34
63242,2,5,5,5,5,4,4,5,2,2,3,2,2,5,2,1,1,2,2,1,2,4,2,4,3,"Females",32
63567,2,3,3,5,3,2,3,3,3,5,2,5,5,4,2,5,5,5,5,4,5,2,5,6,1,"Males",24
66434,2,2,5,5,5,5,5,5,2,2,2,2,5,5,4,2,2,2,2,2,4,4,4,4,3,"Males",18
66582,1,5,4,5,2,4,4,4,1,4,2,5,1,4,4,5,5,4,5,4,5,2,5,5,1,"Females",24
67124,1,4,6,4,6,1,3,1,4,5,1,1,5,6,4,1,1,1,1,1,6,1,6,6,1,"Females",36
64371,3,2,3,5,4,5,5,5,2,2,4,5,2,1,2,1,1,2,5,5,3,2,3,5,2,"Males",28
65262,1,5,5,5,6,5,5,3,3,4,2,1,5,5,5,5,6,5,3,3,4,5,5,5,3,"Females",34
65897,2,5,6,5,5,4,4,6,1,3,4,2,4,3,4,3,4,1,2,1,5,2,4,5,2,"Males",31
66277,2,5,4,6,5,5,5,5,2,2,2,2,5,5,5,2,3,5,5,4,5,2,6,5,1,"Females",20
67188,1,1,1,2,1,1,1,4,5,5,6,6,1,4,1,6,6,6,6,4,3,6,1,6,6,"Females",17
64939,4,5,6,5,6,3,2,2,3,6,6,4,4,5,4,5,4,5,5,2,4,6,1,6,6,"Males",23
61703,2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,3,4,2,2,4,5,4,5,3,2,"Females",18
64627,2,4,3,4,4,5,5,6,1,3,3,4,4,4,3,2,5,4,2,4,5,2,4,3,2,"Females",26
64963,3,4,4,4,4,6,5,4,1,1,3,4,5,5,5,1,1,1,1,1,5,2,5,4,2,"Females",57
62179,5,5,5,1,5,6,5,2,6,6,4,4,6,3,3,5,4,4,5,4,6,6,6,6,4,"Males",20
62345,2,4,4,6,5,4,4,4,3,4,1,1,5,5,6,2,4,3,3,1,6,1,6,4,2,"Females",53
64235,2,5,5,6,4,3,2,4,5,4,2,3,4,5,4,2,2,2,5,3,6,3,4,2,2,"Females",26
64702,1,4,3,6,4,6,6,4,1,2,2,5,5,2,4,3,3,3,4,1,5,2,5,5,1,"Males",24
62574,2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,1,1,2,4,2,3,4,5,5,3,"Females",29
65370,2,5,6,6,6,6,5,4,5,5,1,2,3,6,3,4,1,6,6,2,5,1,4,2,5,"Males",21
63707,1,5,6,5,4,3,4,2,3,4,5,5,4,2,3,1,2,2,5,3,5,2,4,5,2,"Males",22
63376,1,6,6,6,6,4,6,5,2,2,1,1,6,6,6,1,4,4,4,4,6,1,6,6,1,"Females",28
66576,1,6,5,5,5,3,4,6,4,5,1,5,4,5,4,5,5,5,6,6,5,4,4,5,2,"Males",27
61773,4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,5,5,4,3,5,4,1,4,2,3,"Males",21
62681,1,5,6,6,5,5,4,4,1,2,1,4,4,4,5,4,4,4,2,1,2,6,4,5,1,"Females",18
66144,1,6,6,6,5,4,4,4,2,3,3,3,4,5,3,1,2,2,2,2,5,2,4,5,3,"Females",20
61716,1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,6,6,6,3,3,3,1,4,6,2,"Females",24
62182,2,6,5,6,5,6,5,5,1,1,5,1,5,5,6,5,4,2,2,1,6,1,5,6,2,"Males",27
66299,1,6,5,6,6,4,3,4,3,5,2,4,4,5,3,3,3,1,3,2,5,4,3,6,2,"Females",18
63090,5,6,6,4,5,5,5,4,2,3,3,2,5,6,4,1,2,2,2,2,6,1,3,5,2,"Males",16
66497,3,4,5,5,3,4,5,5,3,3,5,2,2,6,2,3,2,3,4,2,3,5,3,4,3,"Females",20
65635,1,6,6,6,6,4,4,2,2,2,1,2,5,5,5,1,1,4,4,1,6,1,6,6,1,"Males",21
62351,4,6,6,4,4,6,4,6,1,4,1,5,5,2,5,4,6,4,2,5,6,3,4,6,2,"Females",23
64511,1,6,5,6,6,6,6,6,1,1,5,4,3,5,5,5,3,2,4,4,5,2,4,5,5,"Females",39
63081,3,4,5,6,5,4,6,4,1,1,2,2,5,5,6,3,3,3,2,1,6,3,5,4,5,"Females",43
67516,2,5,4,4,3,3,5,4,4,4,3,6,1,2,3,3,3,5,6,4,3,1,5,5,3,"Females",25
67397,4,5,5,6,5,4,5,5,3,1,1,5,4,6,5,5,3,4,2,5,4,3,4,2,4,"Females",22
66512,2,6,5,6,5,6,6,6,1,1,1,1,5,6,6,2,5,1,1,1,6,2,6,5,3,"Females",25
67309,1,6,6,6,6,3,5,5,3,3,1,1,6,6,6,4,5,6,5,6,5,4,5,6,3,"Females",29
64866,1,5,2,4,2,6,4,5,1,2,5,6,1,1,2,2,1,2,4,4,6,2,5,6,1,"Males",54
65981,2,4,2,5,2,5,5,5,1,4,6,6,2,2,5,3,4,3,5,2,4,4,1,5,2,"Males",35
65973,1,5,5,5,5,5,5,4,1,2,3,1,4,5,5,2,2,2,1,3,5,3,5,5,1,"Females",34
61629,4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,6,3,2,6,4,3,2,4,5,3,"Males",19
62650,2,5,1,6,6,6,6,5,1,1,2,1,6,5,6,2,4,2,2,5,6,1,5,4,1,"Females",50
65170,3,3,5,5,5,1,6,6,2,1,1,1,1,5,2,5,5,5,4,3,5,1,1,1,1,"Females",13
66403,1,4,4,2,2,4,3,4,4,6,4,5,2,1,2,5,5,5,5,4,5,3,5,6,2,"Females",19
64886,2,5,6,5,6,6,5,6,1,1,2,1,4,5,6,5,5,5,2,3,6,2,5,5,1,"Females",34
67490,3,5,3,5,4,6,5,5,5,3,4,4,1,5,5,3,4,3,5,6,4,1,4,5,1,"Females",37
64912,1,6,5,6,4,4,3,2,4,5,1,2,5,6,5,5,5,5,4,4,4,4,5,5,2,"Females",27
62797,1,6,6,6,6,3,4,1,1,4,1,1,6,6,6,1,1,2,1,1,5,6,3,4,3,"Females",23
66376,4,6,5,4,5,2,5,4,3,2,4,2,3,5,5,5,4,1,4,2,6,4,5,5,2,"Males",30
66499,2,2,2,4,1,5,5,5,2,3,4,5,3,2,4,3,5,2,2,4,6,2,3,6,1,"Males",19
62467,3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,3,2,3,1,5,3,4,4,4,"Females",26
63083,2,5,5,6,4,3,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,5,4,4,3,"Females",15
64429,2,5,5,6,5,5,5,5,1,2,2,2,5,5,1,2,2,2,1,1,6,2,5,4,1,"Males",50
66657,2,6,6,6,6,5,6,6,3,1,1,1,6,6,5,1,1,2,2,2,6,4,4,6,2,"Females",33
67540,2,5,3,5,4,5,4,3,4,4,5,2,3,2,3,1,4,5,5,2,4,2,4,5,3,"Females",23
63038,1,5,4,2,5,5,5,4,2,4,5,2,5,5,5,2,1,5,5,1,6,1,5,6,1,"Females",44
66903,3,4,3,4,5,3,4,2,4,5,3,5,1,3,2,4,4,3,4,5,4,6,3,5,4,"Females",20
65515,2,4,4,6,4,5,6,4,1,5,2,4,4,5,3,4,5,5,5,5,4,2,5,6,2,"Females",36
63408,3,5,5,5,6,4,4,6,3,3,2,2,5,6,6,2,2,3,3,3,5,4,5,6,3,"Females",23
64579,4,1,1,1,3,3,4,1,4,5,6,6,4,1,2,6,6,5,5,5,6,2,1,6,3,"Females",20
66017,6,1,6,6,5,4,1,1,4,4,1,1,6,6,6,6,4,3,4,1,6,1,6,5,1,"Males",40
61725,4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,6,5,5,5,6,2,5,2,6,4,"Females",25
66306,3,5,5,6,4,4,4,4,2,4,2,3,4,5,5,1,3,2,2,3,4,1,3,4,4,"Females",20
65680,2,6,6,6,5,5,4,5,2,2,1,2,5,6,5,4,4,4,4,4,6,1,4,6,3,"Males",21
67121,1,5,6,5,3,3,3,5,2,4,6,4,1,5,2,1,4,2,1,1,5,6,1,4,3,"Males",20
66122,2,6,5,5,6,5,5,6,2,2,2,2,5,5,6,2,3,2,2,5,5,5,5,6,2,"Females",34
66415,5,5,6,6,5,5,6,4,2,3,1,2,5,6,6,4,4,4,3,4,4,4,5,4,2,"Females",27
62722,1,5,4,1,5,5,4,5,2,5,6,6,3,1,2,4,4,6,6,5,5,2,5,6,2,"Males",24
64577,3,2,4,4,4,6,5,4,3,1,4,3,4,5,4,3,4,4,4,4,4,2,4,6,4,"Males",19
