"sex"	"height"
nom	int
"Male"	75
"Male"	70
"Male"	68
"Male"	74
"Male"	61
"Female"	65
"Female"	66
"Female"	62
"Female"	66
"Male"	67
"Male"	72
"Male"	72
"Male"	69
"Male"	68
"Male"	69
"Male"	66
"Male"	75
"Female"	64
"Female"	60
"Male"	67
"Male"	66
"Male"	64
"Male"	70
"Male"	73
"Male"	72
"Male"	69
"Male"	69
"Male"	72
"Female"	64
"Male"	72
"Male"	75
"Male"	71
"Female"	67
"Female"	66
"Female"	67
"Male"	69
"Male"	68
"Female"	66.75
"Male"	72
"Female"	63
"Male"	69
"Male"	68
"Female"	63
"Male"	60
"Male"	73
"Male"	74
"Male"	74
"Male"	66
"Male"	68
"Male"	73
"Male"	70
"Male"	68
"Male"	73
"Male"	70.5
"Female"	64.9606299212598
"Male"	71
"Male"	70
"Male"	67
"Male"	69
"Male"	67
"Male"	69
"Male"	73
"Male"	74
"Male"	70
"Male"	66
"Male"	72
"Female"	65
"Male"	65
"Male"	70
"Male"	73
"Male"	67
"Male"	72
"Male"	68
"Male"	68
"Female"	65
"Male"	72
"Male"	71
"Female"	65
"Female"	72
"Male"	69
"Male"	70
"Male"	72
"Male"	72
"Female"	62
"Female"	65
"Male"	70
"Male"	60
"Male"	67
"Female"	62
"Male"	71
"Female"	63
"Male"	68
"Female"	64.1732
"Female"	64
"Male"	71
"Male"	68.5
"Female"	62
"Female"	78.740157480315
"Male"	70
"Male"	72
"Female"	71
"Male"	71
"Female"	69.6
"Female"	65
"Male"	70
"Female"	61
"Female"	63
"Male"	70
"Male"	67
"Female"	62
"Male"	68
"Male"	73
"Female"	66.5
"Male"	69
"Male"	74
"Male"	71.5
"Male"	76
"Male"	69
"Male"	74
"Male"	74.5
"Male"	69
"Female"	66
"Female"	64
"Male"	78
"Male"	67
"Female"	69
"Female"	67
"Female"	63
"Male"	74
"Female"	62
"Female"	69
"Female"	64
"Male"	71
"Female"	62.5
"Male"	68
"Female"	67
"Male"	71
"Male"	74
"Male"	75
"Female"	65
"Male"	68
"Female"	65
"Female"	66
"Male"	72
"Male"	73
"Male"	71
"Male"	74
"Female"	63
"Male"	73
"Male"	68
"Female"	77
"Male"	70.5
"Female"	63
"Male"	69
"Male"	69
"Male"	68.89
"Male"	66.5
"Female"	64.173
"Female"	63
"Female"	65
"Female"	64
"Female"	63
"Female"	63
"Female"	69
"Male"	69
"Female"	64
"Female"	62
"Male"	70
"Male"	70
"Female"	59
"Female"	65
"Male"	67.7
"Male"	72
"Male"	74
"Male"	71.7
"Male"	70.87
"Female"	66
"Male"	72
